"Station Name","Date (Local Standard Time)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Precip. (mm)","Precip. Source Flag","Precip. Comment","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment"
"Lethbridge Demo Farm IMCIN","01-May-2017","9.7","AGGREGATED","91.7","0.0","AGGREGATED","using element [Precip. Weighing]","4.2","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","02-May-2017","8.6","AGGREGATED","100.0","1.2","AGGREGATED","using element [Precip. Weighing]","3.1","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","03-May-2017","12.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.6","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","04-May-2017","18.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","7.2","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","05-May-2017","17.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.3","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","06-May-2017","16.9","AGGREGATED","100.0","1.3","AGGREGATED","using element [Precip. Weighing]","5.2","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","07-May-2017","7.3","AGGREGATED","100.0","2.2","AGGREGATED","using element [Precip. Weighing]","1.6","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","08-May-2017","9.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.6","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","09-May-2017","12.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.3","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","10-May-2017","14.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.1","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","11-May-2017","17.3","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","6.4","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","12-May-2017","13.9","AGGREGATED","100.0","13.0","AGGREGATED","using element [Precip. Weighing]","4.1","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","13-May-2017","10.8","AGGREGATED","100.0","0.1","AGGREGATED","using element [Precip. Weighing]","5.3","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","14-May-2017","9.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.9","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","15-May-2017","9.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.1","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","16-May-2017","9.5","AGGREGATED","100.0","1.4","AGGREGATED","using element [Precip. Weighing]","3.0","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","17-May-2017","6.3","AGGREGATED","100.0","12.3","AGGREGATED","using element [Precip. Weighing]","0.9","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","18-May-2017","9.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.5","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","19-May-2017","12.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.3","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","20-May-2017","14.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.9","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","21-May-2017","15.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.3","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","22-May-2017","17.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.4","MODELLED","solar-ACT, 2m wind, Avg."
"Lethbridge Demo Farm IMCIN","23-May-2017","20.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","7.6","MODELLED","solar-ACT, 2m wind, Avg."
