"Station Name","Date (Local Standard Time)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Precip. (mm)","Precip. Source Flag","Precip. Comment","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment"
"Edmonton South Campus UA","01-May-2024","4.9","AGGREGATED","100.0","8.4","AGGREGATED","using element [Precip. Weighing]","2.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","02-May-2024","7.7","AGGREGATED","100.0","0.1","AGGREGATED","using element [Precip. Weighing]","3.9","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","03-May-2024","6.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.6","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","04-May-2024","7.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.6","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","05-May-2024","11.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.3","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","06-May-2024","10.0","AGGREGATED","100.0","5.8","AGGREGATED","using element [Precip. Weighing]","1.3","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","07-May-2024","7.5","AGGREGATED","100.0","18.0","AGGREGATED","using element [Precip. Weighing]","1.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","08-May-2024","11.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.2","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","09-May-2024","14.8","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","10-May-2024","18.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","11-May-2024","15.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.4","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","12-May-2024","13.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","13-May-2024","13.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.5","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","14-May-2024","16.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.6","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","15-May-2024","12.2","AGGREGATED","100.0","1.7","AGGREGATED","using element [Precip. Weighing]","3.2","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","16-May-2024","9.5","AGGREGATED","100.0","10.3","AGGREGATED","using element [Precip. Weighing]","1.7","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","17-May-2024","6.7","AGGREGATED","100.0","0.1","AGGREGATED","using element [Precip. Weighing]","2.2","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","18-May-2024","7.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","19-May-2024","6.7","AGGREGATED","100.0","1.9","AGGREGATED","using element [Precip. Weighing]","1.6","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","20-May-2024","7.1","AGGREGATED","100.0","2.9","AGGREGATED","using element [Precip. Weighing]","1.7","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","21-May-2024","9.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","2.9","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","22-May-2024","9.7","AGGREGATED","100.0","5.4","AGGREGATED","using element [Precip. Weighing]","2.5","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","23-May-2024","8.6","AGGREGATED","100.0","0.3","AGGREGATED","using element [Precip. Weighing]","2.3","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","24-May-2024","10.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.3","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","25-May-2024","12.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.4","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","26-May-2024","11.9","AGGREGATED","100.0","9.5","AGGREGATED","using element [Precip. Weighing]","2.1","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","27-May-2024","14.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.9","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","28-May-2024","16.6","AGGREGATED","100.0","0.1","AGGREGATED","using element [Precip. Weighing]","4.9","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","29-May-2024","13.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.7","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","30-May-2024","12.1","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","5.3","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","31-May-2024","12.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.2","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","01-June-2024","14.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.6","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","02-June-2024","15.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.7","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","03-June-2024","12.2","AGGREGATED","100.0","18.2","AGGREGATED","using element [Precip. Weighing]","1.8","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","04-June-2024","13.0","AGGREGATED","100.0","2.5","AGGREGATED","using element [Precip. Weighing]","4.0","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","05-June-2024","14.3","AGGREGATED","100.0","0.1","AGGREGATED","using element [Precip. Weighing]","6.6","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","06-June-2024","14.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.8","MODELLED","solar-ACT, 2m wind, Avg."
"Edmonton South Campus UA","07-June-2024","14.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.3","MODELLED","solar-ACT, 2m wind, Avg."
