"Station Name","Date (Local Standard Time)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Precip. (mm)","Precip. Source Flag","Precip. Comment","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment"
"Lethbridge CDA","01-May-2019","3.8","AGGREGATED","100.0","0.3","AGGREGATED","using element [Precip. Weighing]","2.5","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","02-May-2019","5.9","AGGREGATED","95.8","0.0","AGGREGATED","using element [Precip. Weighing]","2.8","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","03-May-2019","9.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.2","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","04-May-2019","2.8","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","1.9","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","05-May-2019","1.8","AGGREGATED","100.0","1.8","AGGREGATED","using element [Precip. Weighing]","1.6","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","06-May-2019","7.6","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","3.5","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","07-May-2019","8.5","AGGREGATED","100.0","3.8","AGGREGATED","using element [Precip. Weighing]","1.7","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","08-May-2019","8.4","AGGREGATED","100.0","0.3","AGGREGATED","using element [Precip. Weighing]","3.5","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","09-May-2019","10.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.8","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","10-May-2019","14.3","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","4.2","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","11-May-2019","14.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.4","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","12-May-2019","19.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","6.2","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","13-May-2019","16.7","AGGREGATED","100.0","0.3","AGGREGATED","using element [Precip. Weighing]","4.2","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","14-May-2019","17.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.5","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","15-May-2019","15.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.9","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","16-May-2019","8.7","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","1.7","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","17-May-2019","5.2","AGGREGATED","100.0","11.2","AGGREGATED","using element [Precip. Weighing]","0.6","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","18-May-2019","4.3","AGGREGATED","100.0","4.6","AGGREGATED","using element [Precip. Weighing]","1.2","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","19-May-2019","7.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","3.0","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","20-May-2019","6.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","2.0","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","21-May-2019","6.9","AGGREGATED","100.0","6.1","AGGREGATED","using element [Precip. Weighing]","0.8","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","22-May-2019","11.4","AGGREGATED","100.0","0.8","AGGREGATED","using element [Precip. Weighing]","4.3","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","23-May-2019","14.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.2","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","24-May-2019","13.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.6","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","25-May-2019","12.1","AGGREGATED","95.8","12.4","AGGREGATED","using element [Precip. Weighing]","2.9","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","26-May-2019","11.3","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","4.0","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","27-May-2019","13.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.2","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","28-May-2019","13.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.4","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","29-May-2019","17.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","5.8","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","30-May-2019","18.1","AGGREGATED","95.8","11.4","AGGREGATED","using element [Precip. Weighing]","6.3","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","31-May-2019","15.2","AGGREGATED","100.0","0.3","AGGREGATED","using element [Precip. Weighing]","3.5","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","01-June-2019","19.1","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","6.0","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","02-June-2019","22.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","7.7","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","03-June-2019","22.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","8.8","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","04-June-2019","18.0","AGGREGATED","100.0","0.3","AGGREGATED","using element [Precip. Weighing]","7.7","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","05-June-2019","17.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","7.3","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","06-June-2019","16.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.8","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","07-June-2019","11.0","AGGREGATED","100.0","1.3","AGGREGATED","using element [Precip. Weighing]","5.2","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","08-June-2019","10.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","4.2","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
"Lethbridge CDA","09-June-2019","14.2","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","5.5","MODELLED","solar-ACT, 10m-conv-2m wind, Avg."
